Дата,Цена
2024-01-29 00:00:00+00:00,121.825
2024-01-30 00:00:00+00:00,122.625
2024-01-31 00:00:00+00:00,122.875
2024-02-01 00:00:00+00:00,123.125
2024-02-02 00:00:00+00:00,122.2
2024-02-05 00:00:00+00:00,122.275
2024-02-06 00:00:00+00:00,121.9
2024-02-07 00:00:00+00:00,123.45
2024-02-08 00:00:00+00:00,121.3
2024-02-09 00:00:00+00:00,121.65
2024-02-12 00:00:00+00:00,122.325
2024-02-13 00:00:00+00:00,121.975
2024-02-14 00:00:00+00:00,122.5
2024-02-15 00:00:00+00:00,121.925
2024-02-16 00:00:00+00:00,121.25
2024-02-19 00:00:00+00:00,124.7
2024-02-20 00:00:00+00:00,117.875
2024-02-21 00:00:00+00:00,115.5
2024-02-22 00:00:00+00:00,115.95
2024-02-26 00:00:00+00:00,118.0
2024-02-27 00:00:00+00:00,116.925
2024-02-28 00:00:00+00:00,116.55
2024-02-29 00:00:00+00:00,117.125
2024-03-01 00:00:00+00:00,118.275
2024-03-04 00:00:00+00:00,118.9
2024-03-05 00:00:00+00:00,117.525
2024-03-06 00:00:00+00:00,117.2
2024-03-07 00:00:00+00:00,116.55
2024-03-11 00:00:00+00:00,116.65
2024-03-12 00:00:00+00:00,116.975
2024-03-13 00:00:00+00:00,116.925
2024-03-14 00:00:00+00:00,115.45
2024-03-15 00:00:00+00:00,115.975
2024-03-18 00:00:00+00:00,114.35
2024-03-19 00:00:00+00:00,111.825
2024-03-20 00:00:00+00:00,112.35
2024-03-21 00:00:00+00:00,112.375
2024-03-22 00:00:00+00:00,111.5
2024-03-25 00:00:00+00:00,113.2
2024-03-26 00:00:00+00:00,112.875
2024-03-27 00:00:00+00:00,112.975
2024-03-28 00:00:00+00:00,112.9
2024-03-29 00:00:00+00:00,114.625
2024-04-01 00:00:00+00:00,116.475
2024-04-02 00:00:00+00:00,118.15
2024-04-03 00:00:00+00:00,118.35
2024-04-04 00:00:00+00:00,119.7
2024-04-05 00:00:00+00:00,119.375
2024-04-08 00:00:00+00:00,120.125
